id	VL_TOTAL_INVESTIMENTO_T0	RESTRICAO_INTERNA	RISCO	DS_ESTADO_CIVIL	ESCOLARIDADE	TEM_PRE_APROV_CDC	TIPO_CLIENTE	IDADE	QTDE_PRODUTOS_12M	SG_UF	CD_SEXO	VL_TOTL_REND	PERFIL	ALVO
2855	0	0	BAIXO	SOLTEIRO	SEM ESCOLARIDADE	1	ESPECIAL	33	7	MG	H	2897.29	INVESTIDOR	0
2856	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	ESPECIAL	35	5	RJ	H	929.71	TOMADOR	0
2857	16.8	0	BAIXO	SOLTEIRO	SUPERIOR	1	ESPECIAL	31	5	MG	H	3047.53	INVESTIDOR	0
2858	55.4	0	BAIXO	SOLTEIRO	SUPERIOR	1	ESPECIAL	30	8	RJ	M	2529.54	INVESTIDOR	0
2859	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	ESPECIAL	28	8	MG	M	3368	INVESTIDOR	0
2860	0	0	BAIXO	SOLTEIRO	ENSINO FUNDAMENTAL	1	CLÁSSICO	54	4	RJ	H	1051.5	TOMADOR	0
2861	2602.4	0	BAIXO	VIUVO	SUPERIOR	0	VIP	77	6	RJ	M	4477.51	TOMADOR	0
2862	53647.3	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	69	6	RJ	M	2709.24	INVESTIDOR	0
2863	1205.9	0	BAIXO	VIUVO	ENSINO MEDIO	0	ESPECIAL	83	6	RJ	M	2220.01	INVESTIDOR	0
2864	9348.4	0	BAIXO	VIUVO	ENSINO MEDIO	1	VIP	72	7	RJ	M	2815.27	INVESTIDOR	0
2865	24.2	0	MEDIO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	35	8	RJ	M	1383.47	TOMADOR	0
2866	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	33	6	RJ	H	1688.19	TOMADOR	0
2867	0	1	MEDIO	SOLTEIRO	ENSINO MEDIO	0	CLÁSSICO	38	1	RJ	H	320.94	NEUTRO	0
2868	0	0	BAIXO	SOLTEIRO	NÃO INFORMADO	1	ESPECIAL	71	6	RJ	M	2608.92	INVESTIDOR	0
2869	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	CLÁSSICO	32	6	RJ	H	1200	TOMADOR	0
2870	102.1	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	32	3	RJ	M	2093.49	INVESTIDOR	0
2871	32552	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	35	8	RJ	H	16142.53	INVESTIDOR	0
2872	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	33	3	RJ	M	1499.74	TOMADOR	0
2873	6501	0	BAIXO	SOLTEIRO	SUPERIOR	1	ESPECIAL	64	4	RJ	M	1758.47	INVESTIDOR	0
2874	74.2	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	ESPECIAL	31	7	RJ	M	2090.03	TOMADOR	0
2875	6316	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	45	5	RJ	H	2868.19	INVESTIDOR	0
2876	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	VIP	28	6	RJ	M	7500	TOMADOR	0
2877	2089.5	0	BAIXO	VIUVO	SUPERIOR	0	VIP	79	4	RJ	M	5042.41	INVESTIDOR	0
2878	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	74	9	RJ	H	3242.67	TOMADOR	0
2879	0	1	ALTO	SOLTEIRO	ENSINO FUNDAMENTAL	0	CLÁSSICO	30	2	RJ	H	643.42	TOMADOR	0
2880	8119.9	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	64	8	RJ	M	1989.76	INVESTIDOR	0
2881	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	ESPECIAL	67	3	RJ	M	1976.58	INVESTIDOR	0
2882	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	VIP	62	6	RJ	M	2163.71	INVESTIDOR	0
2883	3725	0	BAIXO	SOLTEIRO	SUPERIOR	1	VIP	65	9	RJ	M	5799.04	INVESTIDOR	0
2884	25205	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	ESPECIAL	72	3	RJ	H	1413.81	INVESTIDOR	0
2885	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	ESPECIAL	63	2	RJ	M	2880.44	INVESTIDOR	0
2886	3878	0	BAIXO	VIUVO	ENSINO MEDIO	1	ESPECIAL	63	8	RJ	M	2700.72	INVESTIDOR	0
2887	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	69	4	RJ	M	2227.25	TOMADOR	0
2888	0	1	ALTO	SOLTEIRO	ENSINO MEDIO	0	ESPECIAL	64	4	RJ	M	4000	INVESTIDOR	0
2889	0	0	ALTO	VIUVO	ENSINO FUNDAMENTAL	0	ESPECIAL	80	5	RJ	M	1153.56	TOMADOR	0
2890	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	VIP	64	6	RJ	M	8861.79	INVESTIDOR	0
2891	0	0	BAIXO	SOLTEIRO	ENSINO FUNDAMENTAL	0	ESPECIAL	81	4	RJ	H	1380.49	TOMADOR	0
2892	0	0	MEDIO	DIVORCIADO	NÃO INFORMADO	0	ESPECIAL	58	7	RJ	M	1366.59	TOMADOR	0
2893	3953.2	0	BAIXO	VIUVO	NÃO INFORMADO	1	ESPECIAL	63	5	RJ	M	4592.53	INVESTIDOR	0
2894	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	59	2	RJ	M	2955.79	INVESTIDOR	0
2895	0	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	0	ESPECIAL	69	6	RJ	H	1232.49	TOMADOR	0
2896	2023.2	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	61	5	RJ	M	3706	INVESTIDOR	0
2897	0	0	BAIXO	SOLTEIRO	POS GRADUACAO	1	ESPECIAL	59	2	RJ	M	2326.69	INVESTIDOR	0
2898	0	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	1	ESPECIAL	51	3	RJ	H	1215.17	INVESTIDOR	0
2899	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	VIP	51	7	MG	H	5137	TOMADOR	0
2900	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	ESPECIAL	58	7	RJ	M	1307.4	TOMADOR	0
2901	0	1	ALTO	VIUVO	ENSINO MEDIO	0	CLÁSSICO	73	3	RJ	H	1012.17	INVESTIDOR	0
2902	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	ESPECIAL	56	2	RJ	M	1756.94	INVESTIDOR	0
2903	0	0	BAIXO	DIVORCIADO	ENSINO FUNDAMENTAL	0	CLÁSSICO	97	1	RJ	M	779.47	INVESTIDOR	0
2904	40	0	BAIXO	VIUVO	ENSINO MEDIO	1	VIP	71	7	RJ	M	3835.24	INVESTIDOR	0
2905	0	0	BAIXO	VIUVO	ENSINO FUNDAMENTAL	0	CLÁSSICO	77	5	RJ	H	465.03	INVESTIDOR	0
2906	0	0	BAIXO	NÃO INFORMADO	POS GRADUACAO	1	VIP	61	5	RJ	M	6832.63	TOMADOR	0
2907	0	0	BAIXO	NÃO INFORMADO	POS GRADUACAO	1	VIP	60	9	RJ	M	5927.46	TOMADOR	0
2908	4217.6	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	64	4	RJ	M	2296.23	INVESTIDOR	0
2909	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	57	7	ES	H	1640.49	TOMADOR	0
2910	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	67	3	RJ	M	2178.47	INVESTIDOR	0
2911	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	57	4	RJ	H	1969.23	INVESTIDOR	0
2912	49218.5	0	BAIXO	SOLTEIRO	SUPERIOR	1	VIP	53	6	RJ	M	2209.29	INVESTIDOR	0
2913	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	VIP	57	9	RJ	M	6118	TOMADOR	0
2914	28.3	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	ESPECIAL	70	5	RJ	M	1872.7	TOMADOR	0
2915	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	CLÁSSICO	52	5	RJ	M	812.92	INVESTIDOR	0
2916	0	0	ALTO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	53	6	RJ	H	1727.68	TOMADOR	0
2917	0	1	ALTO	SOLTEIRO	ENSINO FUNDAMENTAL	0	CLÁSSICO	58	1	RJ	M	711.83	TOMADOR	0
2918	1300.5	0	BAIXO	VIUVO	ENSINO MEDIO	1	ESPECIAL	55	5	RJ	M	2687.81	INVESTIDOR	0
2919	1120.4	0	BAIXO	VIUVO	ENSINO MEDIO	1	ESPECIAL	74	6	RJ	M	2105.86	TOMADOR	0
2920	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	CLÁSSICO	64	3	RJ	M	1200	INVESTIDOR	0
2921	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	64	3	RJ	M	2722.24	TOMADOR	0
2922	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	ESPECIAL	57	3	RJ	M	1891.58	INVESTIDOR	0
2923	0	0	MEDIO	SOLTEIRO	ENSINO FUNDAMENTAL	0	ESPECIAL	46	5	MG	H	4000	TOMADOR	0
2924	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	VIP	56	3	RJ	M	5971.25	INVESTIDOR	0
2925	0	0	BAIXO	SOLTEIRO	ENSINO FUNDAMENTAL	1	ESPECIAL	62	7	RJ	H	1451.87	TOMADOR	0
2926	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	ESPECIAL	56	5	RJ	M	1870.44	TOMADOR	0
2927	1.9	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	CLÁSSICO	55	7	RJ	M	1062	TOMADOR	0
2928	5.2	0	BAIXO	SOLTEIRO	ENSINO FUNDAMENTAL	0	CLÁSSICO	50	7	RJ	H	743.85	INVESTIDOR	0
2929	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	ESPECIAL	43	5	RJ	H	5252.15	INVESTIDOR	0
2930	5.4	1	MEDIO	SOLTEIRO	ENSINO MEDIO	0	ESPECIAL	51	7	RJ	H	1970.33	TOMADOR	0
2931	0	0	BAIXO	SOLTEIRO	NÃO INFORMADO	1	CLÁSSICO	53	3	RJ	M	819.1	INVESTIDOR	0
2932	0	1	MEDIO	NÃO INFORMADO	SUPERIOR	0	VIP	50	4	RJ	M	4768.27	INVESTIDOR	0
2933	0	1	ALTO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	50	4	RJ	M	3295.27	TOMADOR	0
2934	0	1	ALTO	DIVORCIADO	ENSINO FUNDAMENTAL	0	CLÁSSICO	63	5	RJ	H	238.83	TOMADOR	0
2935	5757	0	BAIXO	SOLTEIRO	POS GRADUACAO	1	ESPECIAL	51	5	RJ	M	2847.91	TOMADOR	0
2936	0	1	ALTO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	57	1	RJ	M	1406.6	TOMADOR	0
2937	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	CLÁSSICO	53	3	RJ	M	898.54	TOMADOR	0
2938	5.3	1	ALTO	NÃO INFORMADO	ENSINO FUNDAMENTAL	0	ESPECIAL	45	5	MG	H	2447.11	TOMADOR	0
2939	0	0	MEDIO	DIVORCIADO	SUPERIOR	0	ESPECIAL	50	6	RJ	M	1958	TOMADOR	0
2940	0	1	MEDIO	NÃO INFORMADO	SUPERIOR	0	ESPECIAL	52	2	RJ	M	2729.54	INVESTIDOR	0
2941	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	ESPECIAL	54	8	RJ	M	985.4	INVESTIDOR	0
2942	0	0	BAIXO	DIVORCIADO	ENSINO MEDIO	1	ESPECIAL	49	6	RJ	H	1800.99	INVESTIDOR	0
2943	62.4	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	49	7	ES	H	3388.3	INVESTIDOR	0
2944	0	0	BAIXO	VIUVO	ENSINO MEDIO	0	VIP	83	2	RJ	M	16007.86	INVESTIDOR	0
2945	0	1	ALTO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	49	2	ES	H	575.13	TOMADOR	0
2946	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	49	5	RJ	H	1890.01	TOMADOR	0
2947	0	0	BAIXO	NÃO INFORMADO	POS GRADUACAO	1	ESPECIAL	49	4	RJ	H	1858.63	INVESTIDOR	0
2948	0	0	BAIXO	SOLTEIRO	NÃO INFORMADO	1	ESPECIAL	47	7	RJ	M	2264.39	INVESTIDOR	0
2949	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	48	6	RJ	H	2931.01	INVESTIDOR	0
2950	0	1	MEDIO	SOLTEIRO	SEM ESCOLARIDADE	0	VIP	52	3	ES	H	7439.39	INVESTIDOR	0
2951	0	0	BAIXO	SOLTEIRO	SEM ESCOLARIDADE	0	ESPECIAL	48	5	RJ	H	745.43	TOMADOR	0
2952	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	0	ESPECIAL	47	6	RJ	M	1230.07	TOMADOR	0
2953	0	0	MEDIO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	47	4	RJ	H	1290.39	TOMADOR	0
2954	0	0	BAIXO	NÃO INFORMADO	SEM ESCOLARIDADE	1	ESPECIAL	73	4	RJ	H	876.84	INVESTIDOR	0
2955	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	46	6	RJ	M	4095.88	TOMADOR	0
2956	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	46	3	RJ	M	1167.67	INVESTIDOR	0
2957	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	CLÁSSICO	45	3	RJ	H	1155.25	INVESTIDOR	0
2958	0	0	BAIXO	DIVORCIADO	ENSINO MEDIO	1	ESPECIAL	59	5	RJ	M	3638.29	INVESTIDOR	0
2959	7555.5	1	ALTO	SOLTEIRO	SUPERIOR	0	ESPECIAL	46	4	RJ	H	2216.7	TOMADOR	0
2960	0	1	ALTO	VIUVO	SEM ESCOLARIDADE	0	ESPECIAL	60	2	RJ	M	2687.03	INVESTIDOR	0
2961	0	0	BAIXO	DIVORCIADO	SEM ESCOLARIDADE	1	ESPECIAL	45	4	RJ	H	2232.29	INVESTIDOR	0
2962	0	1	MEDIO	SOLTEIRO	NÃO INFORMADO	0	ESPECIAL	41	1	RJ	M	2102.49	INVESTIDOR	0
2963	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	0	CLÁSSICO	64	6	RJ	M	800	TOMADOR	0
2964	8760.1	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	45	4	RJ	H	1800	INVESTIDOR	0
2965	0	0	BAIXO	VIUVO	ENSINO FUNDAMENTAL	0	CLÁSSICO	60	5	RJ	M	465.36	TOMADOR	0
2966	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	ESPECIAL	53	3	RJ	M	3082.75	TOMADOR	0
2967	7989.7	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	44	5	RJ	M	2428	INVESTIDOR	0
2968	0	1	MEDIO	NÃO INFORMADO	ENSINO MEDIO	0	CLÁSSICO	46	5	RJ	H	1047.24	TOMADOR	0
2969	0	0	BAIXO	SOLTEIRO	ENSINO FUNDAMENTAL	0	CLÁSSICO	93	4	RJ	M	499.52	INVESTIDOR	0
2970	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	ESPECIAL	44	5	RJ	M	3203.08	INVESTIDOR	0
2971	0	0	BAIXO	VIUVO	SUPERIOR	1	CLÁSSICO	47	2	RJ	M	957.64	INVESTIDOR	0
2972	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	ESPECIAL	44	3	RJ	H	3876.6	INVESTIDOR	0
2973	6960.4	0	BAIXO	VIUVO	SUPERIOR	1	ESPECIAL	66	5	RJ	M	2416.61	INVESTIDOR	0
2974	0	1	ALTO	SOLTEIRO	ENSINO MEDIO	0	CLÁSSICO	44	2	RJ	M	540.8	TOMADOR	0
2975	10062	1	MEDIO	SOLTEIRO	ENSINO MEDIO	0	ESPECIAL	44	4	RJ	H	2361.74	TOMADOR	0
2976	1.6	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	46	5	RJ	M	3493.88	INVESTIDOR	0
2977	6.6	0	BAIXO	DIVORCIADO	ENSINO FUNDAMENTAL	0	CLÁSSICO	52	4	RJ	M	495.37	TOMADOR	0
2978	0.7	0	BAIXO	SOLTEIRO	SUPERIOR	1	ESPECIAL	74	5	RJ	M	1972.66	TOMADOR	0
2979	207.6	0	BAIXO	NÃO INFORMADO	SEM ESCOLARIDADE	1	ESPECIAL	34	9	MG	H	3606.81	TOMADOR	0
2980	0	0	MEDIO	NÃO INFORMADO	SUPERIOR	0	CLÁSSICO	26	6	MG	M	1200	TOMADOR	0
2981	0	0	MEDIO	SOLTEIRO	SUPERIOR	0	CLÁSSICO	25	3	SP	M	300	INVESTIDOR	0
2982	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	CLÁSSICO	36	1	SP	M	950.39	INVESTIDOR	0
2983	0	0	BAIXO	SOLTEIRO	NÃO INFORMADO	1	ESPECIAL	37	6	GO	H	3990	TOMADOR	0
2984	0	1	MEDIO	SOLTEIRO	SUPERIOR	0	CLÁSSICO	46	1	RJ	M	2561.11	INVESTIDOR	0
2985	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	VIP	44	6	RS	M	1163.33	INVESTIDOR	0
2986	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	VIP	32	5	TO	H	6992	NEUTRO	0
2987	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	CLÁSSICO	29	6	RJ	M	1200	INVESTIDOR	0
2988	2.7	1	ALTO	NÃO INFORMADO	ENSINO FUNDAMENTAL	0	CLÁSSICO	29	2	SP	H	750.24	INVESTIDOR	0
2989	0	1	MEDIO	DIVORCIADO	SUPERIOR	0	VIP	48	5	SP	H	0	INVESTIDOR	0
2990	0	0	BAIXO	SOLTEIRO	SUPERIOR	0	CLÁSSICO	29	8	SP	H	461.98	TOMADOR	0
2991	0	0	BAIXO	SOLTEIRO	NÃO INFORMADO	1	VIP	49	9	RJ	M	2617.67	TOMADOR	0
2992	0	0	MEDIO	SOLTEIRO	SUPERIOR	0	VIP	41	3	SP	H	3504.7	TOMADOR	0
2993	105398.1	0	BAIXO	NÃO INFORMADO	SUPERIOR	0	VIP	39	8	RJ	M	0	INVESTIDOR	0
2994	3267.6	0	BAIXO	SOLTEIRO	NÃO INFORMADO	0	ESPECIAL	52	8	MG	H	0	TOMADOR	0
2995	4252.6	0	BAIXO	SOLTEIRO	ENSINO MEDIO	0	ESPECIAL	77	3	RJ	M	1510.03	INVESTIDOR	0
2996	0	1	MEDIO	SOLTEIRO	SUPERIOR	0	CLÁSSICO	31	1	SP	H	4055.86		0
2997	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	ESPECIAL	23	4	SP	M	1500		0
2998	0	0	BAIXO	SOLTEIRO	SUPERIOR	0	CLÁSSICO	27	4	SP	H	486.63	INVESTIDOR	0
2999	0	1	ALTO	SOLTEIRO	SUPERIOR	0	CLÁSSICO	31	2	SP	H	672.41	NEUTRO	0
3000	0	1	ALTO	SOLTEIRO	ENSINO MEDIO	0	CLÁSSICO	48	5	SP	H	1022	TOMADOR	0
3001	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	0	CLÁSSICO	24	3	SP	M	167.38	TOMADOR	0
3002	0	0	BAIXO	SOLTEIRO	SEM ESCOLARIDADE	0	VIP	35	8	SP	H	2605.17	TOMADOR	0
3003	1.3	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	62	4	RJ	H	3858	TOMADOR	0
3004	0.3	0	BAIXO	DIVORCIADO	SUPERIOR	1	ESPECIAL	34	5	RJ	M	1200	INVESTIDOR	0
3005	0	1	MEDIO	SOLTEIRO	ENSINO MEDIO	0	CLÁSSICO	58	1	SP	H	76	NEUTRO	0
3006	28211.5	0	BAIXO	SOLTEIRO	SEM ESCOLARIDADE	1	VIP	62	4	RJ	M	8787.09	INVESTIDOR	0
3007	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	CLÁSSICO	45	3	SP	H	858.45	TOMADOR	0
3008	0	1	MEDIO	SOLTEIRO	SUPERIOR	0	CLÁSSICO	26	3	SP	M	818.94	INVESTIDOR	0
3009	0	1	MEDIO	SOLTEIRO	ENSINO MEDIO	0	CLÁSSICO	30	2	MS	H	1075.25	TOMADOR	0
3010	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	0	CLÁSSICO	46	2	SC	M	658.16	TOMADOR	0
3011	0	0	BAIXO	SOLTEIRO	SUPERIOR	0	CLÁSSICO	25	3	MG	M	0	INVESTIDOR	0
3012	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	CLÁSSICO	38	3	SP	M	1200	INVESTIDOR	0
3013	0	1	ALTO	NÃO INFORMADO	ENSINO MEDIO	0	CLÁSSICO	43	2	SP	H	1091.87	INVESTIDOR	0
3014	16068.5	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	0	ESPECIAL	69	8	SP	H	0	INVESTIDOR	0
3015	18222.2	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	ESPECIAL	37	7	ES	H	3648.81	INVESTIDOR	0
3016	0.5	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	59	5	RJ	H	6604.15	TOMADOR	0
3017	0	1	MEDIO	NÃO INFORMADO	ENSINO MEDIO	0	CLÁSSICO	40	3	PR	H	1045.99	INVESTIDOR	0
3018	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	0	CLÁSSICO	47	2	SP	M	619.82	TOMADOR	0
3019	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	49	1	RJ	H	2058	NEUTRO	0
3020	25.9	0	BAIXO	DIVORCIADO	SEM ESCOLARIDADE	0	ESPECIAL	77	4	RJ	M	2715.83	INVESTIDOR	0
3021	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	28	3	SP	M	1784.06	INVESTIDOR	0
3022	0	0	BAIXO	SOLTEIRO	SEM ESCOLARIDADE	0	CLÁSSICO	62	4	SP	M	543.33	INVESTIDOR	0
3023	5	1	MEDIO	DIVORCIADO	NÃO INFORMADO	0	ESPECIAL	41	3	MT	H	2226	TOMADOR	0
3024	0	0	MEDIO	NÃO INFORMADO	ENSINO MEDIO	0	CLÁSSICO	31	0	SP	M	677.95	TOMADOR	0
3025	0	1	MEDIO	NÃO INFORMADO	ENSINO MEDIO	0	CLÁSSICO	35	3	SP	M	502.88	TOMADOR	0
3026	0	0	BAIXO	NÃO INFORMADO	SEM ESCOLARIDADE	1	ESPECIAL	33	5	SP	H	2115.85	TOMADOR	0
3027	6700.4	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	0	CLÁSSICO	49	5	RJ	H	0	INVESTIDOR	0
3028	0	0	MEDIO	NÃO INFORMADO	SUPERIOR	0	VIP	40	9	SC	H	4104.11	TOMADOR	0
3029	0	0	BAIXO	SOLTEIRO	ENSINO FUNDAMENTAL	1	ESPECIAL	33	3	SC	H	1983.18	INVESTIDOR	0
3030	290699.8	0	BAIXO	NÃO INFORMADO	POS GRADUACAO	1	VIP	49	5	SP	H	4176.3	INVESTIDOR	0
3031	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	VIP	52	4	SP	H	10409.83	INVESTIDOR	0
3032	0	0	BAIXO	SOLTEIRO	SEM ESCOLARIDADE	1	VIP	53	7	RJ	H	2707.83	TOMADOR	0
3033	5.1	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	0	ESPECIAL	69	6	SP	H	725.54	TOMADOR	0
3034	36835.4	0	MEDIO	SOLTEIRO	SUPERIOR	0	ESPECIAL	31	4	SP	M	1505.29	INVESTIDOR	0
3035	0	1	MEDIO	NÃO INFORMADO	SEM ESCOLARIDADE	0	ESPECIAL	43	2	ES	H	2227.38	TOMADOR	0
3036	0	1	ALTO	NÃO INFORMADO	ENSINO MEDIO	0	VIP	35	2	SP	H	2673.47	TOMADOR	0
3037	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	ESPECIAL	31	3	RS	M	1131.28	TOMADOR	0
3038	0	0		DIVORCIADO	SEM ESCOLARIDADE	0	ESPECIAL	55	4	RJ	H	2199.42	INVESTIDOR	0
3039	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	0	CLÁSSICO	59	3	RJ	H	776.34	INVESTIDOR	0
3040	0	0	BAIXO	SOLTEIRO	SUPERIOR	0	ESPECIAL	30	6	RJ	H	3194.1	TOMADOR	0
3041	78.6	0	BAIXO	SOLTEIRO	ENSINO FUNDAMENTAL	0	CLÁSSICO	35	4	SC	M	616.16	TOMADOR	0
3042	0	0	BAIXO	NÃO INFORMADO	POS GRADUACAO	1	VIP	60	6	PE	H	9908.7	INVESTIDOR	0
3043	0	0	BAIXO	SOLTEIRO	SEM ESCOLARIDADE	1	CLÁSSICO	59	4	SC	H	866.5	TOMADOR	0
3044	0	1	MEDIO	SOLTEIRO	ENSINO FUNDAMENTAL	0	CLÁSSICO	30	2	SP	H	654	INVESTIDOR	0
3045	0	0	MEDIO	SOLTEIRO	SUPERIOR	0	CLÁSSICO	28	6	SP	M	1010.25	TOMADOR	0
3046	0	0	BAIXO	SOLTEIRO	SEM ESCOLARIDADE	1	ESPECIAL	50	6	RJ	H	1376.65	INVESTIDOR	0
3047	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	ESPECIAL	29	5	SP	M	1543	NEUTRO	0
3048	0	1	MEDIO	SOLTEIRO	ENSINO MEDIO	0	CLÁSSICO	30	1	MG	H	916.1	NEUTRO	0
3049	0	0	MEDIO	VIUVO	SUPERIOR	0	VIP	61	9	SP	H	4000	TOMADOR	0
3050	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	0	CLÁSSICO	28	3	SP	M	517	INVESTIDOR	0
3051	0	0	BAIXO	NÃO INFORMADO	DOUTORADO	1	VIP	70	7	PR	H	12747.24	TOMADOR	0
3052	4.1	1	ALTO	SOLTEIRO	ENSINO MEDIO	0	VIP	44	3	SP	M	8000	TOMADOR	0
3053	17.4	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	29	6	SP	H	1016.92	TOMADOR	0
3054	114.1	1	ALTO	SOLTEIRO	POS GRADUACAO	0	VIP	64	3	GO	H	11627.69	INVESTIDOR	0
3055	0	0	BAIXO	SOLTEIRO	SEM ESCOLARIDADE	1	CLÁSSICO	44	4	SP	H	1200	INVESTIDOR	0
3056	24.5	0	BAIXO	SOLTEIRO	NÃO INFORMADO	1	CLÁSSICO	25	4	SC	M	1028	NEUTRO	0
3057	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	CLÁSSICO	29	8	SP	H	1200	TOMADOR	0
3058	0	0	MEDIO	SOLTEIRO	NÃO INFORMADO	0	ESPECIAL	52	7	SP	H	916.8	TOMADOR	0
3059	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	ESPECIAL	37	5	PR	H	1437.35	TOMADOR	0
3060	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	0	CLÁSSICO	25	4	SP	M	1027.69	TOMADOR	0
